Time,North Cars,South Cars,East Cars,West Cars,North Light,South Light,East Light,West Light,North Action,South Action,East Action,West Action
01:52:31,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:33,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:34,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:36,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:37,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:38,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:39,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:40,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:41,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:42,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:43,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:44,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:45,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:47,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:48,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:49,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:50,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:51,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:52,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:53,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:53,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:55,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:56,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:57,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:58,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:59,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:00,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
