tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
3204.00;-488439386#0_0;37.52;12.21;575.00;0.00;-501076685#2_0;5.10;0.00;tripinfo_575;2629.00;575;0;1661.58;0.97;0.00;2534.25;DEFAULT_VEHTYPE;;11;2431.00
3208.00;488451880#4_0;107.86;13.38;510.00;0.00;-1103437305#0_0;5.10;0.00;tripinfo_510;2698.00;510;0;1164.40;1.01;0.00;2376.85;DEFAULT_VEHTYPE;;13;2267.00
3218.00;488233001#1_0;0.20;7.02;368.00;0.00;-488451880#2_0;5.10;0.00;tripinfo_368;2850.00;368;0;1698.28;1.14;0.00;2781.47;DEFAULT_VEHTYPE;;16;2579.00
3218.00;488232988#4_0;259.11;13.24;647.00;0.00;488439368#0_0;5.10;0.00;tripinfo_647;2571.00;647;0;1385.73;0.97;0.00;2102.69;DEFAULT_VEHTYPE;;15;2016.00
3219.00;488233001#0_0;44.22;5.72;417.00;0.00;-488451884_0;5.10;0.00;tripinfo_417;2802.00;417;0;1492.68;1.11;0.00;2735.62;DEFAULT_VEHTYPE;;13;2514.00
3220.00;488232983#2_0;122.45;27.05;794.00;2.00;-488432658_0;5.10;0.00;tripinfo_792;2426.00;792;0;2108.59;0.99;0.00;1775.66;DEFAULT_VEHTYPE;;13;1575.00
3223.00;488232987#2_0;0.20;2.49;871.00;0.00;-488451879#2_0;5.10;0.00;tripinfo_871;2352.00;871;0;722.96;1.01;0.00;2307.98;DEFAULT_VEHTYPE;;9;2126.00
3228.00;1134050845_0;71.90;17.65;538.00;0.00;-488451885#0_0;5.10;0.00;tripinfo_538;2690.00;538;0;1400.37;0.93;0.00;2577.77;DEFAULT_VEHTYPE;;12;2347.00
3230.00;488232983#2_0;122.45;27.41;364.00;0.00;374433101#0_0;5.10;0.00;tripinfo_364;2866.00;364;0;3861.24;0.99;0.00;2694.40;DEFAULT_VEHTYPE;;12;2480.00
3243.00;-488232986#1_0;293.53;5.37;386.00;0.00;-757228687#3_0;5.10;0.00;tripinfo_386;2857.00;386;0;1024.41;0.99;0.00;2792.94;DEFAULT_VEHTYPE;;16;2578.00
3246.00;-488440845#3_0;36.02;13.08;200.00;4.00;-1092888927#0_0;5.10;0.00;tripinfo_196;3046.00;196;0;1808.16;1.03;0.00;2943.73;DEFAULT_VEHTYPE;;18;2777.00
3249.00;374433106#4_0;6.83;11.06;894.00;0.00;374433108#8_0;5.10;0.00;tripinfo_894;2355.00;894;0;1277.92;1.08;0.00;2080.67;DEFAULT_VEHTYPE;;13;1938.00
3255.00;-488232999#1_0;146.95;12.66;941.00;0.00;-488232985#5_0;5.10;0.00;tripinfo_941;2314.00;941;0;872.44;1.00;0.00;2260.68;DEFAULT_VEHTYPE;;21;2069.00
3257.00;-374433106#4_0;6.83;6.58;705.00;0.00;488232984#6_0;5.10;0.00;tripinfo_705;2552.00;705;0;1472.50;1.00;0.00;2294.29;DEFAULT_VEHTYPE;;10;2169.00
3258.00;-488232985#5_0;68.09;13.59;757.00;0.00;-488432657_0;5.10;0.00;tripinfo_757;2501.00;757;0;1966.05;1.04;0.00;1918.87;DEFAULT_VEHTYPE;;17;1692.00
3259.00;488232988#3_0;153.19;13.06;83.00;0.00;-488432650#1_0;5.10;0.00;tripinfo_83;3176.00;83;0;2096.49;0.97;0.00;3066.22;DEFAULT_VEHTYPE;;22;2822.00
3261.00;-488232987#0_0;196.45;13.08;547.00;0.00;-488451880#2_0;5.10;0.00;tripinfo_547;2714.00;547;0;1455.08;1.00;0.00;2640.50;DEFAULT_VEHTYPE;;15;2425.00
3265.00;488232988#3_0;153.19;11.39;927.00;0.00;-1248757138_0;5.10;0.00;tripinfo_927;2338.00;927;0;967.99;0.90;0.00;2266.15;DEFAULT_VEHTYPE;;18;2103.00
3266.00;379359178#0_0;41.69;13.29;847.00;0.00;-488451880#0_0;5.10;0.00;tripinfo_847;2419.00;847;0;473.80;0.90;0.00;2391.10;DEFAULT_VEHTYPE;;12;2285.00
3268.00;488232984#0_0;338.45;32.26;675.00;0.00;-488432658_0;5.10;0.00;tripinfo_675;2593.00;675;0;2298.23;1.18;0.00;2051.19;DEFAULT_VEHTYPE;;10;1869.00
3272.00;-488440842#5_0;53.65;13.50;638.00;0.00;488232987#1_0;5.10;0.00;tripinfo_638;2634.00;638;0;1379.17;1.05;0.00;2470.60;DEFAULT_VEHTYPE;;12;2305.00
3273.00;501076685#1_0;30.53;12.04;879.00;0.00;-488429017_0;5.10;0.00;tripinfo_879;2394.00;879;0;931.57;1.06;0.00;2251.37;DEFAULT_VEHTYPE;;10;2165.00
3280.00;379359178#2_0;0.20;20.69;703.00;0.00;-489222059#0_0;5.10;0.00;tripinfo_703;2577.00;703;0;1368.53;0.98;0.00;2504.50;DEFAULT_VEHTYPE;;12;2321.00
3283.00;-717045286#1_0;27.38;12.01;897.00;0.00;-1211506466#0_0;5.10;0.00;tripinfo_897;2386.00;897;0;1754.64;0.88;0.00;1803.23;DEFAULT_VEHTYPE;;15;1598.00
3284.00;-488451885#4_0;44.09;11.15;872.00;0.00;1226433842#0_0;5.10;0.00;tripinfo_872;2412.00;872;0;1009.02;0.86;0.00;2331.33;DEFAULT_VEHTYPE;;15;2245.00
3290.00;-488439374#1_0;223.72;16.03;360.00;0.00;488232985#8_0;5.10;0.00;tripinfo_360;2930.00;360;0;1513.02;1.19;0.00;2856.95;DEFAULT_VEHTYPE;;16;2710.00
3291.00;-488451885#4_0;44.09;14.70;865.00;0.00;-1132773660#0_0;5.10;0.00;tripinfo_865;2426.00;865;0;1310.80;1.17;0.00;2273.92;DEFAULT_VEHTYPE;;15;2073.00
3292.00;-488451880#1_0;2.40;2.93;124.00;1.00;488232985#8_0;5.10;0.00;tripinfo_123;3168.00;123;0;1614.99;1.02;0.00;2992.46;DEFAULT_VEHTYPE;;17;2827.00
3297.00;1128316618_0;41.35;5.55;765.00;0.00;488452625#0_0;5.10;0.00;tripinfo_765;2532.00;765;0;1019.45;0.94;0.00;2468.79;DEFAULT_VEHTYPE;;14;2282.00
3297.00;-488451880#3_0;5.99;5.58;995.00;0.00;-488440851_0;5.10;0.00;tripinfo_995;2302.00;995;0;402.25;0.77;0.00;2265.64;DEFAULT_VEHTYPE;;11;2201.00
3300.00;488232996#2_0;155.69;14.10;766.00;0.00;-1267075001_0;5.10;0.00;tripinfo_766;2534.00;766;0;1779.53;1.02;0.00;2285.98;DEFAULT_VEHTYPE;;10;2084.00
3303.00;488451879#2_0;76.16;11.85;418.00;0.00;488232982#3_0;5.10;0.00;tripinfo_418;2885.00;418;0;1303.46;0.92;0.00;2813.22;DEFAULT_VEHTYPE;;17;2672.00
3306.00;431659327#0_0;44.85;8.55;861.00;0.00;379359177#2_0;5.10;0.00;tripinfo_861;2445.00;861;0;910.38;0.96;0.00;2400.54;DEFAULT_VEHTYPE;;17;2276.00
3309.00;-716013643_0;30.47;6.49;493.00;0.00;1134050845_0;5.10;0.00;tripinfo_493;2816.00;493;0;1053.39;1.13;0.00;2767.59;DEFAULT_VEHTYPE;;16;2631.00
3316.00;374433101#8_0;241.80;9.75;951.00;0.00;1211506462#0_0;3.38;0.00;tripinfo_951;2365.00;951;0;877.99;1.13;0.00;2324.75;DEFAULT_VEHTYPE;;13;2161.00
3332.00;1132773660#1_0;30.45;5.05;666.00;0.00;488429011_0;5.10;0.00;tripinfo_666;2666.00;666;0;737.92;1.06;0.00;2253.17;DEFAULT_VEHTYPE;;13;2184.00
3333.00;488429014#0_0;78.52;5.65;988.00;0.00;-1211506462#3_0;5.10;0.00;tripinfo_988;2345.00;988;0;1038.89;0.98;0.00;2288.57;DEFAULT_VEHTYPE;;12;2112.00
3338.00;501076685#1_0;30.53;12.22;381.00;0.00;-488229186#4_0;0.20;0.00;tripinfo_381;2957.00;381;0;1758.75;0.96;0.00;2871.40;DEFAULT_VEHTYPE;;19;2644.00
3338.00;717045286#2_0;69.11;13.58;3146.00;2436.00;379359178#3_0;5.10;0.00;tripinfo_710;192.00;710;0;798.40;1.05;0.00;153.19;DEFAULT_VEHTYPE;;2;58.00
3339.00;-488429014#0_0;78.52;12.94;836.00;2.00;193847185#2_0;5.10;0.00;tripinfo_834;2503.00;834;0;1631.80;1.02;0.00;2423.23;DEFAULT_VEHTYPE;;12;2254.00
3339.00;-488451886#1_0;64.01;11.73;993.00;0.00;488238448#0_0;5.10;0.00;tripinfo_993;2346.00;993;0;1489.18;0.89;0.00;1872.18;DEFAULT_VEHTYPE;;16;1680.00
3341.00;757228687#4_0;77.65;14.24;685.00;0.00;-488432649#0_0;5.10;0.00;tripinfo_685;2656.00;685;0;1070.57;1.10;0.00;2596.89;DEFAULT_VEHTYPE;;17;2373.00
3342.00;-717045285#1_0;29.40;11.27;663.00;0.00;-501076683#0_0;5.10;0.00;tripinfo_663;2679.00;663;0;1807.42;1.19;0.00;2594.85;DEFAULT_VEHTYPE;;13;2331.00
3343.00;-488432669#2_0;38.51;12.45;929.00;0.00;-488451879#1_0;5.10;0.00;tripinfo_929;2414.00;929;0;1315.25;0.96;0.00;2321.85;DEFAULT_VEHTYPE;;15;2210.00
3346.00;1247577744_0;153.06;14.19;522.00;3.00;488432655#3_0;5.10;0.00;tripinfo_519;2824.00;519;0;1260.61;1.05;0.00;2736.10;DEFAULT_VEHTYPE;;12;2655.00
3349.00;379359178#2_0;0.20;19.23;818.00;0.00;-488455852#1_0;5.10;0.00;tripinfo_818;2531.00;818;0;2027.29;1.10;0.00;2431.30;DEFAULT_VEHTYPE;;14;2223.00
3353.00;1211507698_0;30.01;16.25;486.00;0.00;-488440840#1_0;5.10;0.00;tripinfo_486;2867.00;486;0;1755.05;1.24;0.00;2787.68;DEFAULT_VEHTYPE;;19;2621.00
3353.00;-374433111#2_0;0.20;20.00;905.00;0.00;488453906#4_0;5.10;0.00;tripinfo_905;2448.00;905;0;1603.69;0.94;0.00;2291.31;DEFAULT_VEHTYPE;;15;2186.00
3356.00;488451889#2_0;31.69;11.19;156.00;0.00;488432657_0;5.10;0.00;tripinfo_156;3200.00;156;0;1522.27;1.18;0.00;3120.27;DEFAULT_VEHTYPE;;23;2874.00
3357.00;488232984#2_0;2.30;5.87;781.00;0.00;489222065_0;4.06;0.00;tripinfo_781;2576.00;781;0;1936.94;1.00;0.00;2483.91;DEFAULT_VEHTYPE;;14;2305.00
3360.00;488440842#1_0;36.05;12.46;287.00;5.00;379359178#2_0;0.20;0.00;tripinfo_282;3073.00;282;0;1250.00;0.95;0.00;3006.29;DEFAULT_VEHTYPE;;16;2857.00
3360.00;488451889#2_0;31.69;12.14;984.00;0.00;488432649#0_0;5.10;0.00;tripinfo_984;2376.00;984;0;1172.44;1.20;0.00;1858.28;DEFAULT_VEHTYPE;;10;1746.00
3363.00;488439374#0_0;70.40;13.12;673.00;0.00;489222059#0_0;5.10;0.00;tripinfo_673;2690.00;673;0;2070.46;1.02;0.00;2586.15;DEFAULT_VEHTYPE;;14;2412.00
3366.00;488432660#4_0;0.24;3.89;750.00;0.00;-1211507702_0;5.10;0.00;tripinfo_750;2616.00;750;0;314.54;1.14;0.00;2593.68;DEFAULT_VEHTYPE;;15;2526.00
3369.00;-488432648#2_0;73.30;9.55;985.00;0.00;-1128316618_0;5.10;0.00;tripinfo_985;2384.00;985;0;890.47;1.03;0.00;2263.51;DEFAULT_VEHTYPE;;15;2149.00
3371.00;488235612#1_0;0.20;5.98;643.00;0.00;489222062#0_0;5.10;0.00;tripinfo_643;2728.00;643;0;1921.43;0.95;0.00;2627.86;DEFAULT_VEHTYPE;;18;2401.00
3378.00;-488451888#0_0;36.38;5.49;515.00;0.00;-488432650#1_0;5.10;0.00;tripinfo_515;2863.00;515;0;1228.05;0.91;0.00;2785.95;DEFAULT_VEHTYPE;;18;2568.00
3380.00;-488440842#4_0;183.95;12.19;577.00;0.00;-489222059#1_0;5.10;0.00;tripinfo_577;2803.00;577;0;2129.69;0.97;0.00;2681.72;DEFAULT_VEHTYPE;;15;2516.00
3381.00;488451880#3_0;5.91;12.80;367.00;0.00;488232985#6_0;5.10;0.00;tripinfo_367;3014.00;367;0;1528.28;1.00;0.00;2933.48;DEFAULT_VEHTYPE;;16;2779.00
3385.00;374433111#9_0;141.77;20.24;330.00;0.00;488432648#2_0;5.10;0.00;tripinfo_330;3055.00;330;0;1503.21;0.96;0.00;2973.72;DEFAULT_VEHTYPE;;23;2734.00
3385.00;-488451879#5_0;115.54;14.81;977.00;0.00;-1132773661_0;0.58;0.00;tripinfo_977;2408.00;977;0;1384.84;1.07;0.00;2207.19;DEFAULT_VEHTYPE;;16;2061.00
3388.00;-1245514763_0;115.60;12.87;524.00;0.00;489221518#1_0;5.10;0.00;tripinfo_524;2864.00;524;0;1963.94;0.97;0.00;2749.81;DEFAULT_VEHTYPE;;17;2575.00
3388.00;-1134050846_0;0.20;5.51;1045.00;221.00;-488440842#1_0;5.10;0.00;tripinfo_824;2343.00;824;0;1484.25;1.06;0.00;2120.29;DEFAULT_VEHTYPE;;12;2000.00
3390.00;379359178#5_0;0.20;5.76;572.00;0.00;-488232989#2_0;5.10;0.00;tripinfo_572;2818.00;572;0;926.69;1.06;0.00;2769.44;DEFAULT_VEHTYPE;;27;2544.00
3391.00;488451892_0;35.96;13.12;487.00;0.00;-1268087983#1_0;5.10;0.00;tripinfo_487;2904.00;487;0;2365.21;1.06;0.00;2767.21;DEFAULT_VEHTYPE;;17;2596.00
3394.00;1226433842#1_0;207.91;13.30;758.00;0.00;488238462_0;5.10;0.00;tripinfo_758;2636.00;758;0;1782.90;1.00;0.00;2525.73;DEFAULT_VEHTYPE;;25;2342.00
3402.00;488440849#1_0;48.98;9.75;457.00;0.00;488232984#0_0;5.10;0.00;tripinfo_457;2945.00;457;0;1578.77;1.11;0.00;2789.05;DEFAULT_VEHTYPE;;16;2624.00
3408.00;488429012#0_0;99.81;12.96;714.00;0.00;488432651#2_0;5.10;0.00;tripinfo_714;2694.00;714;0;1022.16;0.99;0.00;2628.43;DEFAULT_VEHTYPE;;13;2525.00
3422.00;-488229186#6_0;0.27;5.23;155.00;0.00;-488432657_0;5.10;0.00;tripinfo_155;3267.00;155;0;1981.76;1.12;0.00;3176.69;DEFAULT_VEHTYPE;;22;2917.00
3423.00;488424638#0_0;82.00;14.58;875.00;0.00;488432652_0;5.10;0.00;tripinfo_875;2548.00;875;0;1191.72;1.12;0.00;2476.99;DEFAULT_VEHTYPE;;14;2370.00
3424.00;489205461#2_0;8.58;8.47;344.00;0.00;488232988#4_0;5.10;0.00;tripinfo_344;3080.00;344;0;2190.40;0.98;0.00;2951.31;DEFAULT_VEHTYPE;;19;2768.00
3427.00;-1247582300#2_0;40.33;13.91;706.00;0.00;501076684_0;5.10;0.00;tripinfo_706;2721.00;706;0;1623.29;1.00;0.00;2611.63;DEFAULT_VEHTYPE;;13;2446.00
3428.00;374433108#8_1;84.36;25.00;644.00;0.00;-489205461#2_0;5.10;0.00;tripinfo_644;2784.00;644;0;1620.01;0.91;0.00;2694.17;DEFAULT_VEHTYPE;;19;2477.00
3429.00;488229186#7_0;39.79;13.51;804.00;0.00;1195566240_0;5.10;0.00;tripinfo_804;2625.00;804;0;1736.56;1.00;0.00;2542.09;DEFAULT_VEHTYPE;;16;2271.00
3435.00;-488444641#0_0;43.31;11.78;721.00;0.00;-757103003#4_0;0.20;0.00;tripinfo_721;2714.00;721;0;1524.71;0.93;0.00;2629.49;DEFAULT_VEHTYPE;;15;2403.00
3436.00;374433100#7_2;57.40;25.89;759.00;0.00;-488455859#1_0;0.20;0.00;tripinfo_759;2677.00;759;0;2034.94;0.95;0.00;2475.45;DEFAULT_VEHTYPE;;15;2241.00
3437.00;489205463#2_0;121.40;11.32;379.00;0.00;1268087983#2_0;5.10;0.00;tripinfo_379;3058.00;379;0;2781.85;0.84;0.00;2854.74;DEFAULT_VEHTYPE;;20;2680.00
3437.00;488451885#1_0;0.20;11.95;522.00;0.00;488432660#0_0;5.10;0.00;tripinfo_522;2915.00;522;0;1405.30;0.86;0.00;2814.14;DEFAULT_VEHTYPE;;16;2647.00
3437.00;489221517_0;62.01;14.59;805.00;0.00;-488439369#3_0;5.10;0.00;tripinfo_805;2632.00;805;0;1625.47;1.08;0.00;2532.95;DEFAULT_VEHTYPE;;16;2375.00
3438.00;488432657_0;60.82;12.61;779.00;0.00;1226433842#0_0;5.10;0.00;tripinfo_779;2659.00;779;0;1856.17;0.98;0.00;2537.38;DEFAULT_VEHTYPE;;21;2379.00
3440.00;1211506466#5_0;0.20;11.43;574.00;0.00;488232984#3_0;1.40;0.00;tripinfo_574;2866.00;574;0;1542.88;0.90;0.00;2677.35;DEFAULT_VEHTYPE;;16;2506.00
3440.00;488232988#7_0;36.52;12.59;994.00;0.00;374433102#2_0;5.10;0.00;tripinfo_994;2446.00;994;0;1893.27;1.08;0.00;2362.55;DEFAULT_VEHTYPE;;14;2123.00
3441.00;488232996#0_0;103.57;9.81;782.00;0.00;-717083792#1_0;5.10;0.00;tripinfo_782;2659.00;782;0;2142.30;0.77;0.00;2526.63;DEFAULT_VEHTYPE;;16;2327.00
3442.00;-488232996#2_0;155.64;12.08;702.00;0.00;-488432652_0;5.10;0.00;tripinfo_702;2740.00;702;0;1820.75;0.94;0.00;2625.55;DEFAULT_VEHTYPE;;18;2360.00
3443.00;488429013#2_0;0.20;12.99;544.00;0.00;-1268087981#4_0;5.10;0.00;tripinfo_544;2899.00;544;0;1959.32;1.01;0.00;2768.23;DEFAULT_VEHTYPE;;15;2643.00
3443.00;-488451880#0_0;23.29;5.32;849.00;0.00;488424640_0;5.10;0.00;tripinfo_849;2594.00;849;0;1286.03;0.86;0.00;2164.23;DEFAULT_VEHTYPE;;14;2022.00
3444.00;1211506466#6_0;17.83;13.03;578.00;0.00;488232987#1_0;5.10;0.00;tripinfo_578;2866.00;578;0;1808.24;0.98;0.00;2667.17;DEFAULT_VEHTYPE;;19;2471.00
3450.00;488232983#5_0;1.34;7.86;771.00;0.00;488455859#1_0;0.20;0.00;tripinfo_771;2679.00;771;0;1842.45;0.97;0.00;2486.07;DEFAULT_VEHTYPE;;17;2233.00
3450.00;488233001#0_0;44.22;14.48;876.00;0.00;488229186#4_0;0.20;0.00;tripinfo_876;2574.00;876;0;1224.69;1.13;0.00;2528.50;DEFAULT_VEHTYPE;;22;2292.00
3451.00;488451883_0;35.91;13.92;163.00;0.00;488432667#0_0;5.10;0.00;tripinfo_163;3288.00;163;0;1479.65;1.13;0.00;3202.24;DEFAULT_VEHTYPE;;20;3010.00
3453.00;1105575583#1_0;47.18;6.01;283.00;0.00;488232998#2_0;5.10;0.00;tripinfo_283;3170.00;283;0;1538.08;1.02;0.00;3084.39;DEFAULT_VEHTYPE;;17;2895.00
3453.00;-488232985#8_0;35.50;13.32;953.00;0.00;1211507698_0;5.10;0.00;tripinfo_953;2500.00;953;0;1874.33;1.03;0.00;2401.49;DEFAULT_VEHTYPE;;15;2173.00
3455.00;-717497184_0;43.27;13.33;704.00;0.00;-488432651#2_0;5.10;0.00;tripinfo_704;2751.00;704;0;2117.63;0.96;0.00;2634.54;DEFAULT_VEHTYPE;;19;2358.00
3456.00;489205470#0_0;35.36;13.54;346.00;0.00;488232984#2_0;2.30;0.00;tripinfo_346;3110.00;346;0;1416.68;1.11;0.00;3036.64;DEFAULT_VEHTYPE;;18;2846.00
3456.00;-489205461#1_0;48.37;14.49;376.00;0.00;-488235612#16_0;5.10;0.00;tripinfo_376;3080.00;376;0;2002.28;1.10;0.00;2938.84;DEFAULT_VEHTYPE;;18;2735.00
3457.00;-488439384_0;14.79;11.71;679.00;0.00;488432648#1_0;5.10;0.00;tripinfo_679;2778.00;679;0;1555.35;0.99;0.00;2696.97;DEFAULT_VEHTYPE;;18;2478.00
3457.00;488232983#6_0;1.89;9.91;896.00;0.00;1245799229_0;4.63;0.00;tripinfo_896;2561.00;896;0;1058.11;0.94;0.00;2507.09;DEFAULT_VEHTYPE;;20;2245.00
3459.00;-488232985#2_0;60.97;15.22;699.00;0.00;-757103003#3_0;0.20;0.00;tripinfo_699;2760.00;699;0;1839.65;1.10;0.00;2681.07;DEFAULT_VEHTYPE;;14;2440.00
3461.00;488439386#1_0;60.58;12.93;736.00;0.00;374433102#8_0;5.10;0.00;tripinfo_736;2725.00;736;0;2418.60;0.94;0.00;2597.43;DEFAULT_VEHTYPE;;14;2426.00
3462.00;-488232987#3_0;8.14;12.63;787.00;0.00;-1211506466#3_0;0.20;0.00;tripinfo_787;2675.00;787;0;1606.22;0.96;0.00;2575.68;DEFAULT_VEHTYPE;;17;2320.00
3463.00;1245799229_0;4.63;9.04;617.00;0.00;-1211506466#4_0;5.10;0.00;tripinfo_617;2846.00;617;0;1464.72;1.11;0.00;2746.73;DEFAULT_VEHTYPE;;19;2494.00
3466.00;488429013#2_0;0.20;5.46;648.00;0.00;488439383#0_0;5.10;0.00;tripinfo_648;2818.00;648;0;1318.62;0.96;0.00;2733.85;DEFAULT_VEHTYPE;;20;2479.00
3466.00;-488232988#4_0;264.88;10.35;659.00;0.00;488432649#0_0;5.10;0.00;tripinfo_659;2807.00;659;0;2278.69;0.83;0.00;2658.57;DEFAULT_VEHTYPE;;17;2423.00
3466.00;1132773661_0;0.58;3.85;764.00;0.00;488444640#1_0;5.10;0.00;tripinfo_764;2702.00;764;0;1496.35;1.06;0.00;2636.72;DEFAULT_VEHTYPE;;22;2396.00
3467.00;-1245516596#0_0;20.88;10.68;627.00;0.00;-488232988#2_0;5.10;0.00;tripinfo_627;2840.00;627;0;1278.75;0.90;0.00;2757.50;DEFAULT_VEHTYPE;;19;2560.00
3471.00;374433108#9_0;195.37;27.71;1712.00;1012.00;488453906#1_0;5.10;0.00;tripinfo_700;1759.00;700;0;1742.09;1.00;0.00;1681.22;DEFAULT_VEHTYPE;;7;1520.00
3475.00;-488232998#0_0;84.36;12.83;327.00;0.00;-1211506466#1_0;0.20;0.00;tripinfo_327;3148.00;327;0;1936.34;0.95;0.00;3025.59;DEFAULT_VEHTYPE;;22;2799.00
3477.00;488444640#6_0;18.40;10.60;443.00;0.00;-488432658_0;5.10;0.00;tripinfo_443;3034.00;443;0;1620.56;1.24;0.00;2954.42;DEFAULT_VEHTYPE;;24;2684.00
3479.00;374433111#7_0;24.81;9.90;138.00;0.00;-488432667#2_0;5.10;0.00;tripinfo_138;3341.00;138;0;1912.51;1.00;0.00;3233.17;DEFAULT_VEHTYPE;;22;2980.00
3479.00;1245514497_0;197.87;11.70;684.00;0.00;-1211506466#1_0;0.20;0.00;tripinfo_684;2795.00;684;0;2017.70;0.92;0.00;2649.69;DEFAULT_VEHTYPE;;18;2419.00
3482.00;1226433842#0_0;77.03;13.45;964.00;142.00;488432648#1_0;5.10;0.00;tripinfo_822;2518.00;822;0;1479.48;1.03;0.00;2412.60;DEFAULT_VEHTYPE;;14;2198.00
3483.00;488451879#2_0;76.16;15.24;288.00;0.00;-488432665#0_0;5.10;0.00;tripinfo_288;3195.00;288;0;1234.26;1.10;0.00;3101.55;DEFAULT_VEHTYPE;;21;2911.00
3483.00;1245514497_0;197.87;14.40;410.00;0.00;-1195571203_0;5.10;0.00;tripinfo_410;3073.00;410;0;2180.04;1.10;0.00;2953.15;DEFAULT_VEHTYPE;;17;2791.00
3483.00;488451881#0_0;108.55;12.30;588.00;0.00;-1245440210_0;5.10;0.00;tripinfo_588;2895.00;588;0;1437.83;0.95;0.00;2814.29;DEFAULT_VEHTYPE;;19;2587.00
3490.00;374433111#7_0;24.81;10.35;752.00;0.00;193847184#7_0;5.10;0.00;tripinfo_752;2738.00;752;0;5873.97;0.88;0.00;2431.94;DEFAULT_VEHTYPE;;14;2187.00
3492.00;488232984#6_0;258.42;20.54;904.00;0.00;-488444641#0_0;5.10;0.00;tripinfo_904;2588.00;904;0;1464.85;0.78;0.00;2503.58;DEFAULT_VEHTYPE;;19;2229.00
3493.00;1132773660#3_0;190.69;13.87;332.00;0.00;1211507701#0_0;5.10;0.00;tripinfo_332;3161.00;332;0;1855.45;1.01;0.00;3016.17;DEFAULT_VEHTYPE;;16;2857.00
3496.00;488232982#3_0;49.65;12.83;423.00;0.00;-1211507703_0;5.10;0.00;tripinfo_423;3073.00;423;0;2027.06;1.01;0.00;2926.71;DEFAULT_VEHTYPE;;14;2780.00
3497.00;488232983#8_0;191.16;27.91;786.00;2.00;488432658_0;5.10;0.00;tripinfo_784;2711.00;784;0;2060.43;1.04;0.00;2563.72;DEFAULT_VEHTYPE;;16;2404.00
3497.00;1245516596#0_0;20.88;10.99;1080.00;89.00;-1211506466#4_0;5.10;0.00;tripinfo_991;2417.00;991;0;1697.14;1.03;0.00;1970.07;DEFAULT_VEHTYPE;;13;1834.00
3514.00;379359177#6_0;41.50;4.57;221.00;0.00;488451889#1_0;5.10;0.00;tripinfo_221;3293.00;221;0;1299.91;1.15;0.00;3226.34;DEFAULT_VEHTYPE;;22;2975.00
3516.00;-488440845#3_0;36.02;14.60;689.00;0.00;-488232985#9_0;5.10;0.00;tripinfo_689;2827.00;689;0;3427.00;1.22;0.00;2640.10;DEFAULT_VEHTYPE;;24;2408.00
3519.00;717045285#2_0;31.85;14.68;967.00;0.00;488432649#0_0;5.10;0.00;tripinfo_967;2552.00;967;0;1856.39;1.11;0.00;2461.32;DEFAULT_VEHTYPE;;17;2206.00
3524.00;-488432648#3_0;61.61;11.97;235.00;0.00;-489218279#2_0;5.10;0.00;tripinfo_235;3289.00;235;0;2010.27;0.96;0.00;3090.16;DEFAULT_VEHTYPE;;18;2958.00
3524.00;374433100#9_0;1787.33;28.42;961.00;12.00;-1245799229_0;4.63;0.00;tripinfo_949;2563.00;949;0;3050.30;1.06;0.00;2448.80;DEFAULT_VEHTYPE;;16;2179.00
3530.00;1226433842#1_0;207.91;12.49;823.00;0.00;1211506466#3_0;0.20;0.00;tripinfo_823;2707.00;823;0;2327.03;0.95;0.00;2572.47;DEFAULT_VEHTYPE;;17;2331.00
3531.00;374433108#0_0;1841.66;25.62;441.00;0.00;-488451885#7_0;5.10;0.00;tripinfo_441;3090.00;441;0;5586.00;0.93;0.00;2828.10;DEFAULT_VEHTYPE;;19;2655.00
3533.00;374433106#1_0;0.20;6.17;477.00;0.00;488232985#8_0;5.10;0.00;tripinfo_477;3056.00;477;0;1256.42;0.99;0.00;2989.39;DEFAULT_VEHTYPE;;25;2814.00
3537.00;-488439369#3_0;88.74;13.41;945.00;185.00;-488432660#8_0;5.10;0.00;tripinfo_760;2592.00;760;0;1700.38;1.05;0.00;2397.75;DEFAULT_VEHTYPE;;16;2249.00
3538.00;-488229186#3_0;52.28;10.08;898.00;0.00;488235612#10_0;5.10;0.00;tripinfo_898;2640.00;898;0;2021.21;0.81;0.00;2511.89;DEFAULT_VEHTYPE;;16;2357.00
3541.00;-488432655#2_0;29.96;11.95;945.00;0.00;488232984#6_0;5.10;0.00;tripinfo_945;2596.00;945;0;1633.66;1.09;0.00;2492.71;DEFAULT_VEHTYPE;;10;2402.00
3544.00;-488235612#16_0;25.18;14.67;310.00;9.00;488440849#1_0;5.10;0.00;tripinfo_ai_veh_300_3;3234.00;ai_veh_300_3;0;1927.15;1.08;0.00;3127.39;DEFAULT_VEHTYPE;;18;2993.00
