tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
2942.00;488429013#0_0;77.62;14.63;164.00;3.00;-1134050845_0;5.10;0.00;tripinfo_161;2778.00;161;0;1063.08;1.08;0.00;2721.07;DEFAULT_VEHTYPE;;13;2575.00
2947.00;488235612#15_0;44.95;14.98;987.00;0.00;374433102#2_0;5.10;0.00;tripinfo_987;1960.00;987;0;940.63;1.11;0.00;1901.28;DEFAULT_VEHTYPE;;10;1809.00
2949.00;1114849907#2_0;191.51;23.33;322.00;0.00;1103437305#1_0;5.10;0.00;tripinfo_322;2627.00;322;0;710.79;0.87;0.00;2588.54;DEFAULT_VEHTYPE;;13;2508.00
2950.00;-1210212970_0;17.62;9.81;749.00;0.00;488432659#0_0;5.10;0.00;tripinfo_749;2201.00;749;0;977.54;0.95;0.00;2133.11;DEFAULT_VEHTYPE;;11;2035.00
2960.00;488229186#5_0;3.52;6.40;377.00;0.00;488429018_0;5.10;0.00;tripinfo_377;2583.00;377;0;1181.97;1.08;0.00;2153.89;DEFAULT_VEHTYPE;;10;2086.00
2967.00;374433100#6_2;7.65;27.22;546.00;0.00;374433101#1_0;3.65;0.00;tripinfo_546;2421.00;546;0;1739.51;0.98;0.00;2001.37;DEFAULT_VEHTYPE;;9;1936.00
2969.00;488232983#8_0;191.16;31.66;30.00;0.00;757103003#0_0;5.10;0.00;tripinfo_30;2939.00;30;0;2026.67;1.18;0.00;2850.05;DEFAULT_VEHTYPE;;11;2757.00
2975.00;488432660#7_0;22.54;10.44;727.00;0.00;-488451889#2_0;5.10;0.00;tripinfo_727;2248.00;727;0;816.07;0.82;0.00;2178.79;DEFAULT_VEHTYPE;;13;2083.00
2976.00;-488451882_0;29.72;13.00;350.00;0.00;-488232996#3_0;5.10;0.00;tripinfo_350;2626.00;350;0;1161.74;1.02;0.00;2417.23;DEFAULT_VEHTYPE;;15;2287.00
2977.00;488432654#1_0;37.10;12.74;836.00;0.00;1211506458#1_0;5.10;0.00;tripinfo_836;2141.00;836;0;306.26;1.04;0.00;2116.58;DEFAULT_VEHTYPE;;12;2055.00
2980.00;-488432654#0_0;48.35;14.78;826.00;0.00;489222059#1_0;5.10;0.00;tripinfo_826;2154.00;826;0;714.98;1.10;0.00;2108.85;DEFAULT_VEHTYPE;;13;2031.00
